20	EST456	980	2	14000.00
272	EST456	980	3	21000.00
667	HOR110	5000	80	80000.00
221	EST100	2501	2	4600.00
359	EST123	1000	5	22995.00
434	HOR789	3000	3	9000.00
160	EST123	1000	2	9198.00
987	EST123	1000	2	9198.00
631	EST456	980	2	14000.00
376	EST123	1000	3	13797.00
376	HOR123	1000	3	15000.00
402	HOR456	2000	7	28000.00
118	EST789	3000	2	11398.00
118	HOR789	3000	3	9000.00
605	EST123	1000	2	9198.00
483	EST123	1000	1	4599.00
483	EST123	1000	1	4599.00
934	EST456	980	1	7000.00
934	EST456	980	1	7000.00
834	EST123	-500	500	2299500.00
834	EST123	-999	1	4599.00
430	EST123	1000	2	9198.00
430	EST456	980	1	7000.00
9	EST123	1000	1	4599.00
969	EST123	1000	1	4599.00
92	HOR100	4000	2	4000.00
164	EST123	1000	1	4599.00
409	EST456	980	2	14000.00
746	HOR123	1000	3	15000.00
664	EST123	1000	2	9198.00
733	EST456	980	3	21000.00
387	HOR110	5000	2	2000.00
81	EST789	3000	2	11398.00
731	HOR789	3000	2	6000.00
731	EST456	980	2	14000.00
160	EST123	1000	2	9198.00
530	EST123	1000	1	4599.00
592	EST123	1000	1	4599.00
532	EST123	1000	2	9198.00
12588196	ESKTOP-C8IAC7D	1179606866	1380275794	0.00
12588196	ESKTOP-C8IAC7D	1179606866	1380275794	0.00
8590500	%[^	]	8590472	8590444	0.00
750	EST123	1000	2	9198.00
28	EST123	1000	3	13797.00
577	EST456	980	2	14000.00
668	EST123	1000	2	9198.00
668	EST456	980	3	21000.00
610	HOR123	1000	2	10000.00
610	HOR456	2000	3	12000.00
448	EST123	1000	2	9198.00
448	EST456	980	2	14000.00
840	EST456	980	2	14000.00
840	EST123	1000	2	9198.00
203	EST789	3000	2	11398.00
203	HOR110	5000	2	2000.00
889	EST456	980	2	14000.00
889	EST789	3000	2	11398.00
987	EST123	1000	1	4599.00
987	EST456	980	1	7000.00
419	HOR110	5000	1	1000.00
419	HOR100	4000	1	2000.00
871	EST123	900	100	459900.00
871	EST456	880	100	700000.00
281	EST789	2000	1000	5699000.00
Estante B	HOR456	7470436	0.00
255	HOR456	1000	1000	4000000.00
Estante C	HOR789	7470436	0.00
255	HOR789	1000	2000	6000000.00
568	HOR456	1000	1000	4000000.00
164	HOR110	4000	1000	1000000.00
915	EST123	900	100	459900.00
860	EST123	1000	100	459900.00
407	EST123	900	100	459900.00
563	EST789	1000	2000	11398000.00
991	HOR110	1000	4000	4000000.00
325	EST123	900	100	459900.00
211	EST123	900	100	459900.00
285	EST123	98	2	9198.00
285	EST456	196	4	28000.00
113	EST123	998	2	9198.00
494	EST123	998	2	9198.00
494	EST456	970	10	70000.00
197	EST100	2499	2	4600.00
851	HOR789	2950	50	150000.00
799	EST123	500	500	2299500.00
346	HOR110	4900	100	100000.00
220	EST123	998	2	9198.00
469	EST123	998	2	9198.00
